Review Number, Class ID, Comment Sentiment Score, Rating 
1, AFRI010A AF, 0.6369, 5
2, AFRI191  AF, 0.6236, 4
3, ARHI144B PO, -0.128, 5
4, ARHI178  PO, 0.9428, 4
5, ARHI178  PO, -0.8613, 4
6, ENGL122  AF, 0.9944, 5
7, FREN132  CM, 0.9769, 5
8, HIST040  AF, 0.9496, 3
9, HIST040  AF, -0.703, 3
10, HIST040  AF, 0.6232, 4
11, HIST040  AF, 0.1157, 3
12, HIST040  AF, -0.6705, 2
13, FGSS184  SC, 0.7841, 4
14, FGSS192  SC, 0.7367, 4
15, GWS 026  PO, 0.9241, 5
16, GWS 026  PO, 0.637, 4
17, GWS 026  PO, 0.8518, 4
18, GWS 026  PO, 0.9713, 3
19, GWS 026  PO, 0.9501, 5
20, GWS 026  PO, 0.922, 5
21, GWS 026  PO, 0.966, 5
22, GWS 026  PO, 0.9817, 5
23, GWS 026  PO, 0.8644, 5
24, GWS 026  PO, 0.9448, 4
25, GWS 026  PO, 0.9814, 5
26, GWS 026  PO, 0.9793, 5
27, GWS 026  PO, 0.6808, 5
28, GWS 026  PO, 0.9973, 4
29, GWS 026  PO, 0.9892, 5
30, GWS 026  PO, 0.8099, 5
31, GWS 026  PO, 0.9711, 5
32, GWS 026  PO, 0.9112, 5
33, GWS 026  PO, 0.8004, 4
34, GWS 026  PO, 0.9739, 5
35, GWS 026  PO, -0.8542, 2
36, GWS 026  PO, 0.9826, 5
37, GWS 180  PO, 0.9868, 5
38, GWS 180  PO, 0.9546, 5
39, GWS 180  PO, 0.4019, 5
40, GWS 180  PO, 0.34, 5
41, GWS 180  PO, 0.9413, 4
42, GWS 180  PO, 0.9549, 4
43, GWS 190  PO, 0.9513, 4
44, GWS 191  PO, 0.9451, 5
45, ECON100  CM, 0.9485, 5
46, GOVT020  CM, 0.9783, 4
47, GOVT080  CM, 0.9061, 5
48, GOVT080  CM, -0.0426, 5
49, GOVT112B CM, 0.9603, 5
50, GOVT173C CM, 0.9029, 5
51, IR  100  PO, 0.9872, 5
52, IR  100  PO, 0.9432, 5
53, IR  100  PO, 0.9531, 5
54, IR  100  PO, 0.9303, 4
55, IR  100  PO, 0.9498, 3
56, IR  100  PO, -0.9585, 2
57, IR  100  PO, 0.9163, 5
58, IR  100  PO, 0.7501, 4
59, IR  190  PO, -0.9248, 1
60, IR  190  PO, 0.9778, 1
61, IR  190  PO, 0.9575, 2
62, IR  190  PO, 0.882, 4
63, IR  190  PO, 0.9877, 3
64, IR  190  PO, 0.7783, 3
65, IR  190  PO, 0.1027, 5
66, IR  191  PO, 0.5267, 3
67, POLI001A PO, 0.9139, 5
68, POLI001A PO, 0.998, 5
69, POLI001A PO, 0.9376, 3
70, POLI001A PO, 0.992, 5
71, POLI001A PO, 0.9333, 3
72, POLI001A PO, 0.7391, 3
73, POLI001A PO, 0.8828, 2
74, POLI001A PO, 0.9244, 3
75, POLI001A PO, 0.9662, 3
76, POLI001A PO, 0.9661, 3
77, POLI001A PO, 0.9934, 4
78, POLI001A PO, 0.9597, 5
79, POLI001A PO, 0.5357, 4
80, POLI001A PO, 0.91, 4
81, POLI001A PO, 0.1646, 4
82, POLI001A PO, 0.1779, 5
83, POLI001A PO, 0.9841, 5
84, POLI001A PO, 0.8977, 4
85, POLI001A PO, 0.2259, 4
86, POLI001A PO, 0.7345, 2
87, POLI001A PO, 0.9136, 4
88, POLI001A PO, -0.0414, 3
89, POLI001A PO, -0.101, 1
90, POLI001A PO, 0.8517, 5
91, POLI001A PO, 0.4903, 4
92, POLI001A PO, 0.5994, 5
93, POLI001A PO, 0.9099, 4
94, POLI001A PO, -0.4739, 2
95, POLI001A PO, 0.2023, 1
96, POLI001A PO, -0.2516, 3
97, POLI003  PO, 0.9817, 5
98, POLI003  PO, 0.9805, 5
99, POLI003  PO, 0.749, 4
100, POLI003  PO, 0.7798, 4
101, POLI003  PO, 0.9626, 5
102, POLI003  PO, 0.7734, 3
103, POLI003  PO, 0.7043, 4
104, POLI003  PO, 0.7751, 5
105, POLI003  PO, 0.3169, 3
106, POLI003  PO, 0.9693, 4
107, POLI003  PO, 0.6428, 4
108, POLI003  PO, 0.9501, 5
109, POLI003  PO, 0.7501, 4
110, POLI003  PO, 0.8639, 4
111, POLI003  PO, 0.7717, 3
112, POLI003  PO, -0.8955, 3
113, POLI003  PO, 0.9878, 4
114, POLI003  PO, 0.5483, 5
115, POLI003  PO, 0.7096, 5
116, POLI003  PO, -0.2381, 2
117, POLI003  PO, 0.7649, 4
118, POLI003  PO, 0.0554, 3
119, POLI003  PO, 0.9128, 5
120, POLI003  PO, 0.8016, 4
121, POLI003  PO, 0.3162, 1
122, POLI003  PO, 0.2263, 4
123, POLI003  PO, 0.7615, 4
124, POLI003  PO, 0.9614, 3
125, POLI003  PO, 0.4404, 4
126, POLI003  PO, 0.9454, 4
127, POLI003  PO, 0.9717, 4
128, POLI003  PO, 0.9979, 4
129, POLI003  PO, 0.4118, 2
130, POLI003  PO, 0.9012, 4
131, POLI003  PO, 0.4167, 2
132, POLI003  PO, 0.9052, 2
133, POLI003  PO, 0.9606, 5
134, POLI003  PO, 0.6354, 5
135, POLI003  PO, 0.0, 5
136, POLI003  PO, -0.5553, 2
137, POLI003  PO, 0.9213, 3
138, POLI003  PO, 0.9812, 3
139, POLI003  PO, 0.8361, 2
140, POLI003  PO, 0.9095, 4
141, POLI003  PO, 0.8061, 2
142, POLI003  PO, 0.8111, 1
143, POLI003  PO, 0.5187, 2
144, POLI003  PO, 0.9705, 4
145, POLI003  PO, 0.976, 4
146, POLI003  PO, 0.6724, 3
147, POLI003  PO, 0.9022, 5
148, POLI005  PO, 0.987, 4
149, POLI005  PO, -0.5645, 2
150, POLI005  PO, 0.4678, 1
151, POLI005  PO, 0.7535, 3
152, POLI005  PO, 0.9829, 4
153, POLI005  PO, 0.1595, 3
154, POLI005  PO, 0.8399, 4
155, POLI005  PO, 0.9529, 3
156, POLI005  PO, -0.1531, 3
157, POLI005  PO, 0.2006, 4
158, POLI005  PO, 0.223, 4
159, POLI007  PO, 0.9786, 4
160, POLI007  PO, 0.9622, 5
161, POLI007  PO, 0.983, 5
162, POLI007  PO, 0.9081, 5
163, POLI007  PO, 0.7543, 5
164, POLI007  PO, 0.9118, 2
165, POLI007  PO, -0.2836, 4
166, POLI007  PO, 0.2118, 5
167, POLI007  PO, 0.431, 2
168, POLI007  PO, 0.9157, 4
169, POLI007  PO, 0.9824, 5
170, POLI007  PO, 0.9576, 3
171, POLI007  PO, 0.8709, 5
172, POLI007  PO, -0.6081, 2
173, POLI007  PO, 0.9901, 5
174, POLI007  PO, 0.9046, 1
175, POLI007  PO, 0.9766, 4
176, POLI008  PO, 0.9899, 5
177, POLI008  PO, 0.9467, 5
178, POLI008  PO, 0.9726, 4
179, POLI008  PO, 0.9727, 3
180, POLI008  PO, 0.981, 5
181, POLI008  PO, -0.8235, 1
182, POLI008  PO, 0.92, 3
183, POLI008  PO, 0.9748, 5
184, POLI008  PO, 0.9723, 4
185, POLI008  PO, 0.9451, 3
186, POLI008  PO, -0.274, 2
187, POLI008  PO, 0.9798, 4
188, POLI008  PO, 0.8201, 5
189, POLI008  PO, 0.5413, 1
190, POLI008  PO, 0.5719, 5
191, POLI008  PO, 0.9218, 3
192, POLI008  PO, 0.9924, 1
193, POLI008  PO, 0.9668, 4
194, POLI008  PO, 0.9104, 5
195, POLI008  PO, 0.6798, 2
196, POLI008  PO, 0.9485, 4
197, POLI008  PO, 0.0487, 3
198, POLI008  PO, 0.8918, 5
199, POLI008  PO, 0.6193, 5
200, POLI008  PO, 0.7485, 3
201, POLI046  PO, 0.6669, 5
202, POLI046  PO, -0.5228, 1
203, POLI046  PO, 0.5375, 2
204, POLI046  PO, 0.8829, 3
205, POLI046  PO, 0.5499, 4
206, POLI046  PO, 0.8822, 5
207, POLI046  PO, 0.3252, 5
208, POLI061  PO, 0.9594, 2
209, POLI061  PO, 0.6705, 4
210, POLI061  PO, 0.9811, 4
211, POLI070  PO, 0.9758, 5
212, POLI070  PO, 0.9948, 5
213, POLI070  PO, 0.9803, 5
214, POLI070  PO, 0.9914, 4
215, POLI090  PO, 0.8834, 4
216, POLI090  PO, 0.9807, 4
217, POLI090  PO, 0.945, 5
218, POLI090  PO, 0.661, 5
219, POLI090  PO, 0.9917, 4
220, POLI090  PO, 0.8074, 4
221, POLI090  PO, 0.6377, 5
222, POLI090  PO, -0.6103, 2
223, POLI090  PO, 0.4629, 3
224, POLI090  PO, 0.872, 5
225, POLI090  PO, 0.9677, 5
226, POLI090  PO, 0.8102, 4
227, POLI090  PO, 0.6647, 3
228, POLI090  PO, 0.9734, 5
229, POLI090  PO, 0.9571, 3
230, POLI090  PO, 0.9768, 3
231, POLI090  PO, 0.9806, 4
232, POLI090  PO, 0.6555, 5
233, POLI090  PO, 0.7269, 5
234, POLI090  PO, 0.7623, 5
235, POLI090  PO, 0.9686, 5
236, POLI090  PO, 0.9686, 5
237, POLI090  PO, 0.8704, 5
238, POLI090  PO, 0.9567, 5
239, POLI090  PO, 0.743, 4
240, POLI090  PO, 0.9393, 5
241, POLI090  PO, 0.5423, 4
242, POLI090  PO, 0.7003, 5
243, POLI130  PO, 0.7715, 4
244, POLI130  PO, 0.8537, 5
245, POLI130  PO, 0.8667, 4
246, POLI130  PO, 0.4167, 4
247, POLI130  PO, -0.0018, 5
248, POLI130  PO, 0.902, 5
249, POLI130  PO, 0.7003, 5
250, POLI130  PO, 0.9199, 5
251, POLI130  PO, -0.8493, 5
252, POLI130  PO, 0.9042, 5
253, POLI135  PO, 0.8979, 4
254, POLI135  PO, 0.7764, 3
255, POLI135  PO, 0.8822, 4
256, POLI135  PO, 0.86, 5
257, POLI135  PO, 0.8718, 5
258, POLI135  PO, 0.9371, 5
259, POLI135  PO, 0.9017, 5
260, POLI135  PO, 0.9691, 4
261, POLI135  PO, 0.9696, 5
262, POLI135  PO, 0.9239, 5
263, POLI135  PO, 0.9679, 5
264, POLI135  PO, 0.3071, 4
265, POLI135  PO, 0.8922, 4
266, POLI135  PO, 0.8571, 4
267, POLI135  PO, 0.9454, 4
268, POLI135  PO, 0.9694, 5
269, POLI135  PO, 0.9615, 4
270, POLI135  PO, 0.7574, 4
271, POLI135  PO, 0.9702, 3
272, POLI135  PO, 0.9274, 3
273, POLI135  PO, 0.9748, 5
274, POLI135  PO, 0.9917, 5
275, POLI135  PO, 0.9875, 3
276, POLI135  PO, 0.8514, 4
277, POLI135  PO, 0.0, 4
278, POLI190C PO, 0.9633, 4
279, POLI190C PO, 0.9806, 5
280, POLI190C PO, 0.9124, 5
281, POLI190C PO, 0.9749, 5
282, POLI190C PO, 0.9166, 4
283, POLI190C PO, 0.9189, 5
284, POLI190C PO, -0.3182, 5
285, POST040  PZ, 0.8583, 4
286, PPA 190  PO, 0.3624, 3
287, PPA 190  PO, 0.4631, 1
288, PPA 190  PO, 0.9153, 4
289, PPA 190  PO, 0.9033, 4
290, PPA 190  PO, 0.1207, 2
291, PPA 195  PO, 0.9292, 4
292, PPA 195  PO, 0.8873, 4
293, PPE 160  PO, 0.9498, 5
294, PPE 160  PO, 0.3071, 2
295, PPE 160  PO, 0.9877, 4
296, PPE 160  PO, -0.6284, 5
297, PPE 160  PO, 0.9442, 5
298, PPE 160  PO, 0.9349, 5
299, PPE 195  PO, -0.8247, 3
300, ARBC001  CM, 0.9729, 4
301, ARBC001  CM, 0.9468, 5
302, ARBC033  CM, 0.5106, 3
303, CHIN001A PO, 0.9798, 5
304, CHIN001A PO, 0.9945, 5
305, CHIN001A PO, 0.8126, 5
306, CHIN001A PO, 0.7527, 5
307, CHIN001A PO, 0.5267, 5
308, CHIN001A PO, 0.5922, 5
309, CHIN001A PO, 0.7498, 5
310, CHIN001A PO, 0.8488, 5
311, CHIN001A PO, 0.5467, 5
312, CHIN001A PO, 0.9939, 5
313, CHIN001A PO, 0.9359, 5
314, CHIN001A PO, 0.9206, 5
315, CHIN001A PO, 0.7783, 5
316, CHIN001A PO, 0.7783, 5
317, CHIN001A PO, 0.7962, 5
318, CHIN001A PO, 0.5413, 5
319, CHIN001A PO, 0.9446, 4
320, CHIN001A PO, 0.9666, 5
321, CHIN001A PO, 0.9538, 5
322, CHIN001A PO, -0.3366, 2
323, CHIN001A PO, 0.9475, 5
324, CHIN002  PO, 0.9931, 4
325, CHIN002  PO, 0.866, 4
326, CHIN002  PO, 0.9071, 5
327, CHIN002  PO, 0.9707, 5
328, CHIN002  PO, 0.8253, 5
329, CHIN002  PO, 0.8906, 5
330, CHIN002  PO, 0.571, 4
331, CHIN002  PO, 0.5574, 4
332, CHIN002  PO, 0.9722, 5
333, CHIN002  PO, 0.9391, 5
334, CHIN011  PO, 0.5395, 4
335, CHIN011  PO, 0.7267, 3
336, CHIN011  PO, 0.5106, 5
337, CHIN013  PO, 0.9856, 5
338, CHIN051A PO, 0.9216, 5
339, CHIN051A PO, 0.7218, 5
340, CHIN051A PO, 0.9865, 5
341, CHIN051A PO, 0.9025, 5
342, CHIN051A PO, 0.872, 5
343, CHIN051A PO, 0.9501, 5
344, CHIN051A PO, -0.0387, 4
345, CHIN051A PO, 0.631, 5
346, CHIN051A PO, 0.9729, 5
347, CHIN051A PO, 0.8387, 4
348, CHIN051A PO, 0.7476, 5
349, CHIN051A PO, 0.0214, 2
350, CHIN111A PO, -0.5232, 2
351, CHIN111A PO, 0.3761, 2
352, CHIN111A PO, 0.9579, 5
353, CHIN111A PO, 0.8128, 5
354, CHIN111A PO, 0.7945, 5
355, CHIN111A PO, 0.2846, 4
356, CHIN111A PO, 0.6518, 5
357, CHIN111A PO, 0.8957, 4
358, CHIN111A PO, 0.9767, 3
359, CHIN111A PO, 0.8606, 2
360, CHIN111A PO, 0.7783, 3
361, CHIN111A PO, 0.9586, 2
362, CHIN111A PO, 0.2732, 3
363, CHIN111A PO, -0.2732, 3
364, CHIN125  PO, -0.0294, 3
365, CHIN125  PO, 0.8979, 4
366, CHIN125  PO, 0.2454, 3
367, CHIN125  PO, 0.5041, 5
368, CHIN131  PO, -0.1154, 3
369, CHIN131  PO, 0.9577, 4
370, CHIN131  PO, 0.9798, 4
371, CHIN131  PO, 0.915, 5
372, CHIN131  PO, 0.93, 4
373, FREN001  PO, 0.9894, 4
374, FREN001  PO, 0.9832, 5
375, FREN001  SC, 0.6808, 2
376, FREN011  PO, 0.9602, 5
377, FREN011  PO, 0.8029, 5
378, FREN011  PO, 0.9317, 4
379, FREN013  PO, 0.2617, 4
380, FREN013  PO, 0.9357, 5
381, FREN022  PO, 0.9725, 5
382, FREN022  PO, 0.8797, 5
383, FREN033  PO, 0.9792, 5
384, FREN033  PO, 0.969, 5
385, FREN033  PO, 0.9949, 5
386, FREN033  PO, 0.9587, 4
387, FREN033  PO, 0.8936, 4
388, FREN033  PO, 0.9363, 4
389, FREN033  PO, 0.9818, 4
390, FREN033  PO, 0.4767, 3
391, FREN033  PO, 0.9482, 4
392, FREN033  PO, -0.5868, 1
393, FREN033  PO, 0.7571, 4
394, FREN033  PO, 0.9183, 5
395, FREN033  PO, 0.5106, 4
396, FREN033  PO, 0.9707, 4
397, FREN033  PO, 0.8846, 5
398, FREN033  PO, 0.9667, 5
399, FREN033  PO, 0.9757, 5
400, FREN033  PO, 0.7274, 4
401, FREN033  PO, 0.8555, 5
402, FREN033  PO, 0.9569, 4
403, FREN033  PO, 0.9306, 4
404, FREN033  PO, 0.9771, 4
405, FREN033  PO, 0.5563, 5
406, FREN033  PO, 0.8717, 5
407, FREN033  PO, 0.9497, 5
408, FREN033  PO, 0.925, 4
409, FREN033  PO, 0.9887, 5
410, FREN033  PO, 0.5719, 4
411, FREN033  PO, 0.975, 5
412, FREN033  PO, 0.9726, 5
413, FREN033  PO, 0.9119, 5
414, FREN033  PO, 0.4588, 3
415, FREN033  PO, 0.9338, 4
416, FREN033  PO, 0.8858, 4
417, FREN033  PO, 0.9819, 5
418, FREN044  PO, 0.9788, 5
419, FREN044  PO, 0.9852, 5
420, FREN044  PO, 0.9567, 4
421, FREN044  PO, 0.8151, 4
422, FREN044  PO, 0.9458, 4
423, FREN044  PO, 0.9548, 3
424, FREN044  PO, 0.9856, 4
425, FREN044  PO, 0.974, 4
426, FREN044  PO, 0.7935, 5
427, FREN044  PO, 0.989, 5
428, FREN044  PO, -0.0915, 4
429, FREN044  PO, 0.9931, 5
430, FREN044  PO, 0.9582, 5
431, FREN044  PO, -0.036, 5
432, FREN044  PO, 0.945, 5
433, FREN044  PO, 0.9293, 4
434, FREN044  PO, 0.9354, 3
435, FREN044  PO, 0.9711, 4
436, FREN044  PO, 0.9607, 5
437, FREN044  PO, 0.9755, 3
438, FREN044  PO, 0.9933, 5
439, FREN044  PO, 0.8739, 4
440, FREN044  PO, -0.722, 5
441, FREN044  PO, 0.9574, 5
442, FREN044  PO, 0.9581, 5
443, FREN044  PO, 0.9638, 5
444, FREN044  PO, 0.9299, 3
445, FREN044  PO, 0.9788, 4
446, FREN044  PO, 0.9209, 4
447, FREN044  PO, 0.9947, 5
448, FREN044  PO, 0.9821, 5
449, FREN044  PO, 0.9079, 5
450, FREN044  PO, 0.9827, 4
451, FREN044  PO, 0.9411, 4
452, FREN044  PO, 0.9867, 4
453, FREN044  PO, 0.9707, 5
454, FREN044  PO, 0.7935, 4
455, FREN044  PO, 0.8136, 5
456, FREN044  PO, 0.9824, 5
457, FREN044  PO, 0.9789, 5
458, FREN044  PO, 0.9117, 4
459, FREN044  PO, 0.9669, 5
460, FREN044  PO, 0.9611, 5
461, FREN044  PO, 0.8555, 4
462, FREN044  PO, 0.8766, 5
463, FREN044  PO, 0.9564, 4
464, FREN044  PO, 0.8935, 4
465, FREN101  PO, 0.9912, 4
466, FREN101  PO, 0.9367, 5
467, FREN101  PO, 0.938, 5
468, FREN101  PO, 0.8865, 5
469, FREN101  PO, 0.959, 5
470, FREN101  PO, 0.2763, 3
471, FREN101  PO, 0.7506, 4
472, FREN101  PO, 0.9584, 5
473, FREN101  PO, 0.9528, 5
474, FREN101  PO, 0.9745, 5
475, FREN101  PO, 0.3999, 5
476, FREN101  PO, -0.5407, 3
477, FREN101  PO, 0.7397, 4
478, FREN101  PO, 0.9834, 1
479, FREN101  PO, 0.9922, 5
480, FREN101  PO, 0.0, 4
481, FREN101  PO, 0.9617, 5
482, FREN101  PO, 0.128, 2
483, FREN101  PO, 0.8086, 4
484, FREN101  PO, 0.4588, 2
485, FREN101  PO, 0.8304, 4
486, FREN101  PO, 0.5932, 3
487, FREN103  PO, 0.908, 4
488, FREN103  PO, 0.8536, 4
489, FREN103  PO, 0.2732, 4
490, FREN103  PO, 0.0, 5
491, FREN135  CM, 0.6687, 3
492, FREN185  PO, 0.6369, 5
493, FREN185  PO, 0.9925, 5
494, GERM001  PO, 0.9465, 5
495, GERM001  PO, 0.9484, 5
496, GERM001  PO, 0.9321, 5
497, GERM001  PO, 0.8659, 5
498, GERM001  PO, 0.7055, 5
499, GERM001  PO, 0.8791, 5
